#fixingDate,fixingId,fixingValue
2015-07-07,USD-LIBOR-3M,0.0028325000
2015-07-08,USD-LIBOR-3M,0.0028345000
2015-07-09,USD-LIBOR-3M,0.0028600000
2015-07-10,USD-LIBOR-3M,0.0028580000
2015-07-13,USD-LIBOR-3M,0.0028880000
2015-07-14,USD-LIBOR-3M,0.0028850000
2015-07-15,USD-LIBOR-3M,0.0028850000
2015-07-16,USD-LIBOR-3M,0.0028700000
2015-07-17,USD-LIBOR-3M,0.0029175000
2015-07-20,USD-LIBOR-3M,0.0029500000
2015-07-21,USD-LIBOR-3M,0.0029410000
2015-07-22,USD-LIBOR-3M,0.0029250000
2015-07-23,USD-LIBOR-3M,0.0029510000
2015-07-24,USD-LIBOR-3M,0.0029360000
2015-07-27,USD-LIBOR-3M,0.0029410000
2015-07-28,USD-LIBOR-3M,0.0029680000
2015-07-29,USD-LIBOR-3M,0.0029680000
2015-07-30,USD-LIBOR-3M,0.0030010000
2015-07-31,USD-LIBOR-3M,0.0030860000
2015-08-03,USD-LIBOR-3M,0.0030370000
2015-08-04,USD-LIBOR-3M,0.0030110000
2015-08-05,USD-LIBOR-3M,0.0031090000
2015-08-06,USD-LIBOR-3M,0.0031140000
2015-08-07,USD-LIBOR-3M,0.0031160000
2015-08-10,USD-LIBOR-3M,0.0031420000
2015-08-11,USD-LIBOR-3M,0.0031435000
2015-08-12,USD-LIBOR-3M,0.0030930000
2015-08-13,USD-LIBOR-3M,0.0032050000
2015-08-14,USD-LIBOR-3M,0.0032445000
2015-08-17,USD-LIBOR-3M,0.0033285000
2015-08-18,USD-LIBOR-3M,0.0033285000
2015-08-19,USD-LIBOR-3M,0.0033335000
2015-08-20,USD-LIBOR-3M,0.0032910000
2015-08-21,USD-LIBOR-3M,0.0032910000
2015-08-24,USD-LIBOR-3M,0.0033160000
2015-08-25,USD-LIBOR-3M,0.0032700000
2015-08-26,USD-LIBOR-3M,0.0032520000
2015-08-27,USD-LIBOR-3M,0.0032440000
2015-08-28,USD-LIBOR-3M,0.0032900000
2015-09-01,USD-LIBOR-3M,0.0033400000
2015-09-02,USD-LIBOR-3M,0.0033250000
2015-09-03,USD-LIBOR-3M,0.0033350000
2015-09-04,USD-LIBOR-3M,0.0033200000
2015-09-07,USD-LIBOR-3M,0.0033300000
2015-09-08,USD-LIBOR-3M,0.0033200000
2015-09-09,USD-LIBOR-3M,0.0033300000
2015-09-10,USD-LIBOR-3M,0.0033600000
2015-09-11,USD-LIBOR-3M,0.0033720000
2015-09-14,USD-LIBOR-3M,0.0033550000
2015-09-15,USD-LIBOR-3M,0.0033425000
2015-09-16,USD-LIBOR-3M,0.0033960000
2015-09-17,USD-LIBOR-3M,0.0034510000
2015-09-18,USD-LIBOR-3M,0.0031920000
2015-09-21,USD-LIBOR-3M,0.0032600000
2015-09-22,USD-LIBOR-3M,0.0032650000
2015-09-23,USD-LIBOR-3M,0.0032550000
2015-09-24,USD-LIBOR-3M,0.0032640000
2015-09-25,USD-LIBOR-3M,0.0032610000
2015-09-28,USD-LIBOR-3M,0.0032660000
2015-09-29,USD-LIBOR-3M,0.0032550000
2015-09-30,USD-LIBOR-3M,0.0032500000
2015-10-01,USD-LIBOR-3M,0.0032400000
2015-10-02,USD-LIBOR-3M,0.0032710000
2015-10-05,USD-LIBOR-3M,0.0032320000
2015-10-06,USD-LIBOR-3M,0.0031800000
2015-10-07,USD-LIBOR-3M,0.0031860000
2015-10-08,USD-LIBOR-3M,0.0031960000
2015-10-09,USD-LIBOR-3M,0.0032060000
2015-10-12,USD-LIBOR-3M,0.0032075000
2015-10-13,USD-LIBOR-3M,0.0032050000
2015-10-14,USD-LIBOR-3M,0.0031705000
2015-10-15,USD-LIBOR-3M,0.0031515000
2015-10-16,USD-LIBOR-3M,0.0031715000
2015-10-19,USD-LIBOR-3M,0.0031665000
2015-10-20,USD-LIBOR-3M,0.0032040000
2015-10-21,USD-LIBOR-3M,0.0031640000
2015-10-22,USD-LIBOR-3M,0.0031990000
2015-10-23,USD-LIBOR-3M,0.0032290000
2015-10-26,USD-LIBOR-3M,0.0032315000
