#TradeId,Factor,Up/Down,Base NPV,ShiftSize_1,ShiftSize_2,Scenario NPV,Difference
Leg001,IndexCurve/USD-FedFunds/0/6M:IndexCurve/USD-LIBOR-3M/4/5Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,IndexCurve/USD-FedFunds/1/1Y:IndexCurve/USD-LIBOR-3M/0/6M,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,IndexCurve/USD-FedFunds/1/1Y:IndexCurve/USD-LIBOR-3M/1/1Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,IndexCurve/USD-FedFunds/1/1Y:IndexCurve/USD-LIBOR-3M/2/2Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,IndexCurve/USD-FedFunds/1/1Y:IndexCurve/USD-LIBOR-3M/3/3Y,Cross,-0.37,0.000100,0.000100,-0.40,-0.03
Leg001,IndexCurve/USD-FedFunds/1/1Y:IndexCurve/USD-LIBOR-3M/4/5Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,IndexCurve/USD-FedFunds/2/2Y:IndexCurve/USD-LIBOR-3M/0/6M,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,IndexCurve/USD-FedFunds/2/2Y:IndexCurve/USD-LIBOR-3M/1/1Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,IndexCurve/USD-FedFunds/2/2Y:IndexCurve/USD-LIBOR-3M/2/2Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
Leg001,IndexCurve/USD-FedFunds/2/2Y:IndexCurve/USD-LIBOR-3M/3/3Y,Cross,-0.37,0.000100,0.000100,-0.40,-0.03
Leg001,IndexCurve/USD-FedFunds/2/2Y:IndexCurve/USD-LIBOR-3M/4/5Y,Cross,-0.37,0.000100,0.000100,-0.37,0.00
